동,위도,경도,인구,유동
가락동,37.494853138611106,127.11536860633335,2253,70771
가리봉동,37.48305485555001,126.8878568823,4478,62382
가산동,37.47771390989474,126.88227994897369,3900,65765
가양동,37.56643179035555,126.84277664515555,4418,68666
가회동,37.58248951653333,126.98488081780003,1966,36871
갈월동,37.545081952,126.97260780756251,3748,61545
갈현동,37.62343520324137,126.91345332324137,3177,43803
강일동,37.56742706939024,127.17347466326828,4091,12290
개봉동,37.49543900612048,126.84974149803621,3004,54552
개포동,37.4819144687547,127.06820881659438,4681,19212
개화동,37.58581070586958,126.80214117186958,1274,64258
거여동,37.4887264641,127.14507707230003,1265,55999
견지동,37.57397199489999,126.98306606299998,1842,66958
경운동,37.5753013969,126.9866856809,3904,19251
계동,37.58269111461905,126.98688917847619,1622,61392
고덕동,37.56446845708572,127.1571808503714,4927,54374
고척동,37.50310537415094,126.85917388050946,3751,70026
공덕동,37.54871847696551,126.95621469334479,1901,55398
공릉동,37.630470367435905,127.09206527782051,3444,12494
공평동,37.57144626262499,126.98335546300001,3054,23034
공항동,37.55573325082609,126.8110852795,3044,48334
과해동,37.56433550632559,126.78679326374419,3394,91886
관수동,37.56916699371428,126.99069858685716,1714,89203
관철동,37.569157902166666,126.986062233,1256,49833
관훈동,37.57415932,126.98493487353845,3415,21901
광장동,37.551210965874986,127.10458350453125,2185,64916
광희동1가,37.565137754181826,127.00524525818186,4059,22700
광희동2가,37.563942307125004,127.00819614900001,3280,73828
교남동,37.56873923642856,126.96440666528572,2780,78827
교북동,37.571511355999995,126.96139880049999,4961,78334
구기동,37.618957925483876,126.96050418740327,1278,36870
구로동,37.49308148915714,126.88159494272854,4294,84832
구산동,37.61152392582142,126.90683941321431,1642,85633
구수동,37.54558203833334,126.93266037658337,3240,96179
구의동,37.54627928861224,127.09329997755101,2952,52322
군자동,37.551071874,127.07400880990907,2164,71055
궁동,37.50115040645162,126.82776864006455,1712,56726
궁정동,37.584912939636354,126.97281473609088,1444,84692
권농동,37.57605588,126.99185471972727,4106,56376
금호동1가,37.55347275485714,127.02182928182857,1121,45249
금호동2가,37.55202277645001,127.02195832414998,4715,14613
금호동3가,37.549895326058824,127.01929870576471,4407,82232
금호동4가,37.54555609787499,127.023796000875,3104,93932
길동,37.54106544510344,127.14862708713792,1888,62519
길음동,37.60907437746875,127.02179644203125,1132,51384
낙원동,37.57257398225,126.98860341658332,1514,32603
남가좌동,37.577103412741934,126.91962086251613,1968,42166
남대문로1가,37.567556097375,126.98296837337502,4700,22176
남대문로2가,37.56392707166667,126.9821527217778,2108,80016
남대문로3가,37.561549504000006,126.9795541425,4539,26936
남대문로4가,37.56062988118182,126.97568803590912,1388,67629
남대문로5가,37.55577447257895,126.97621152242104,3989,46514
남산동1가,37.55918245966667,126.98464919077777,2179,93280
남산동2가,37.558256808100005,126.9856773685,1699,13814
남산동3가,37.560119699499985,126.98781409099998,4852,95734
남영동,37.54237733619999,126.97337296780002,1676,70403
남창동,37.5579471315,126.97797935678571,2807,37524
남학동,37.56080385083333,126.99096719616666,2612,66683
남현동,37.4624318421875,126.9761787889375,3988,11389
내곡동,37.460660252610616,127.07364566147794,4291,72713
내발산동,37.55309773207142,126.83322688835717,2382,91981
내수동,37.573441267285716,126.97199374942856,4383,51753
내자동,37.57512469716667,126.97176724433332,4210,15546
냉천동,37.56735369494444,126.96258755288889,3491,46062
노고산동,37.554157039777785,126.93899153738887,2782,81774
노량진동,37.510693993866674,126.9431314418333,3946,71965
녹번동,37.60512750410256,126.93658885576919,2788,26255
논현동,37.512808494,127.03012273120001,2810,77397
